gene_name	DDdenovo_syn	DDdenovo_mis	DDdenovo_stopgain	gnomAD_syn	gnomAD_mis	gnomAD_stopgain
RSF1	0	3	0	104	213	1
TMEM62	2	1	0	49	106	5
ENSG00000237378	0	0	0	9	15	2
SSR3	0	1	0	16	26	2
IGSF22	2	2	0	114	302	13
ENSG00000285953	1	1	0	54	146	2
ANKRD34B	1	1	0	30	81	2
HORMAD2	0	0	0	21	65	2
CRTAM	0	0	0	36	67	4
PHC2	0	0	0	92	165	3
STRIT1	0	0	0	4	4	0
SPACA9	0	0	0	28	47	3
KPNA2	1	1	0	32	81	0
IFFO2	0	1	0	70	93	1
CCL1	0	0	0	10	16	1
ENSG00000272297	0	0	0	0	0	0
MAPK8IP1	2	4	0	96	147	0
CDC37	0	0	0	48	61	0
SLC26A9	3	3	0	107	167	0
TGM4	3	3	0	74	166	11
APOA1	1	0	0	33	63	0
SCO2	1	1	0	47	85	3
PTPN9	0	2	0	47	80	3
MPHOSPH9	1	1	0	68	187	6
OR2T1	1	0	0	0	0	0
ENSG00000284695	0	0	0	0	0	0
CENPK	0	0	0	21	35	2
RASSF7	0	2	0	0	0	0
DISC1	0	2	0	75	176	4
CPVL	0	0	0	31	105	7
ADAMTS12	1	4	0	110	252	6
PSD2	3	0	0	82	208	4
TRIL	0	1	0	101	149	2
MZB1	0	1	0	20	29	1
CAMK2A	1	5	0	68	27	1
ZNF571	0	1	0	36	123	6
ADA2	0	0	0	40	116	2
TNFAIP8L1	0	1	0	26	35	0
CAMK4	0	5	1	29	69	2
TTC23L	1	0	0	22	73	5
RSL24D1	0	0	0	9	33	0
ENSG00000280571	2	2	0	63	163	5
EXOC5	1	0	0	38	89	1
NBAS	1	10	2	188	510	23
FMC1-LUC7L2	0	3	1	29	74	2
COMMD9	0	0	0	21	37	0
ZNF689	0	0	0	38	76	4
SNX17	0	2	0	37	90	3
COX15	1	2	0	39	65	8
ABCC2	1	5	0	114	318	13
MRE11	0	2	0	60	135	6
RABGGTA	1	2	0	52	119	2
CENPF	0	8	0	241	576	32
UBR7	0	0	0	0	0	0
SLC14A2	1	1	0	99	205	9
ZNF615	0	0	0	44	154	12
ZNF320	0	0	0	34	72	0
RECK	2	2	1	74	141	6
DNAAF8	0	1	0	65	154	10
BCAR3	0	3	0	83	184	5
RASSF3	1	0	0	14	43	2
THAP10	0	1	1	36	49	3
QTRT1	0	1	0	58	76	5
KLF12	1	2	0	59	52	0
SLC25A34	0	0	0	30	79	4
LILRA2	0	0	0	0	0	0
BPIFB2	1	0	1	57	112	3
ARMC12	1	0	0	45	76	5
HNRNPCL2	0	0	0	0	0	0
TOMM6	0	0	0	6	25	0
GARRE1	0	2	0	80	154	2
GBP2	0	0	1	39	114	2
XPR1	0	3	0	54	67	1
CTLA4	0	0	0	20	24	0
GPR146	1	0	0	67	108	1
ENSG00000285943	1	2	0	67	158	5
CHMP4C	0	1	0	18	45	3
SNUPN	0	0	0	23	57	5
CCDC134	0	0	0	26	46	3
CNTN4	1	2	0	108	211	3
PLPPR1	0	1	0	0	0	0
NCL	1	0	2	86	119	0
NHLRC2	0	0	0	45	90	4
CTSK	1	1	0	20	46	3
PLCL2	0	3	0	92	126	1
USP38	0	1	0	78	163	2
ENSG00000288643	0	1	0	3	11	0
C22orf23	0	2	0	19	45	6
SRPRA	0	1	0	61	113	2
CYP4V2	0	1	0	43	113	9
CCDC8	0	0	0	50	123	7
BFAR	0	1	0	0	0	0
HDAC7	0	2	0	121	199	0
ITGA2B	0	3	1	97	178	5
PTGES2	0	1	0	52	93	4
MYORG	0	2	1	96	178	7
SOX6	0	2	2	67	109	1
DGKH	0	5	0	105	176	5
ZBTB46	0	2	0	115	138	1
ENTHD1	0	1	0	34	100	4
OR2Y1	0	2	0	25	84	4
TFEC	0	1	0	27	69	4
FAM171A2	1	2	0	88	155	1
PSMB8	0	1	0	0	0	0
ENSG00000263620	0	4	1	14	20	1
TMPRSS2	1	1	0	68	125	5
ENSG00000272916	0	1	0	61	159	2
