gene	gene_gencodeV33	gene_id	chromosome	pLI	LOEUF	case.ptv	control.ptv	case.misb	control.misb	case.misa	control.misa	case.mis	control.mis	case.syn	control.syn
MED13	MED13	ENSG00000108510	17	1	0.03	1	0	1	0	0	2	32	59	24	32
NIPBL	NIPBL	ENSG00000164190	5	1	0.032	0	0	9	3	16	13	24	43	30	42
SMC3	SMC3	ENSG00000108055	10	1	0.037	1	1	9	2	4	14	0	0	4	18
CNOT1	CNOT1	ENSG00000125107	16	1	0.038	0	0	4	5	13	28	8	23	20	39
RLF	RLF	ENSG00000117000	1	1	0.04	0	0	0	0	7	11	14	18	12	16
PCF11	PCF11	ENSG00000165494	11	1	0.04	0	0	2	2	2	0	16	23	10	16
FNDC3B	FNDC3B	ENSG00000075420	3	1	0.042	0	0	0	0	1	1	24	39	4	20
RSF1	RSF1	ENSG00000048649	11	1	0.044	0	0	0	5	7	5	32	38	5	19
NCKAP1	NCKAP1	ENSG00000061676	2	1	0.044	0	0	2	1	4	11	4	9	6	12
KDM2A	KDM2A	ENSG00000173120	11	1	0.045	1	1	2	1	7	11	10	11	11	20
BRD4	BRD4	ENSG00000141867	19	1	0.048	0	0	0	0	9	17	5	27	16	22
HELZ	HELZ	ENSG00000198265	17	1	0.048	0	0	0	0	6	10	18	39	18	23
FBN1	FBN1	ENSG00000166147	15	1	0.049	0	0	0	4	3	17	0	16	4	19
XPO1	XPO1	ENSG00000082898	2	1	0.051	0	0	0	1	2	6	0	0	4	9
PRR12	PRR12	ENSG00000126464	19	1	0.051	1	0	0	0	5	6	1	9	8	15
SYNGAP1	SYNGAP1	ENSG00000197283	6	1	0.052	4	0	12	13	8	8	0	1	21	32
PRKDC	PRKDC	ENSG00000253729	8	1	0.052	0	0	0	0	0	0	54	123	22	43
HDAC4	HDAC4	ENSG00000068024	2	1	0.052	0	0	0	1	6	11	13	17	18	24
SMG1	SMG1	ENSG00000157106	16	1	0.053	0	1	0	0	11	16	38	53	27	48
ZC3H4	ZC3H4	ENSG00000130749	19	1	0.054	0	0	0	0	6	8	8	21	9	17
COL5A1	COL5A1	ENSG00000130635	9	1	0.055	0	0	0	0	2	7	31	73	31	43
SMARCA4	SMARCA4	ENSG00000127616	19	1	0.055	1	1	11	7	6	10	6	8	24	32
TNPO1	TNPO1	ENSG00000083312	5	1	0.056	0	0	1	1	3	8	3	5	9	9
AGO1	AGO1	ENSG00000092847	1	1	0.057	0	0	6	7	3	5	0	4	9	11
ARHGAP35	ARHGAP35	ENSG00000160007	19	1	0.057	1	0	0	0	10	25	11	19	13	18
LRP1	LRP1	ENSG00000123384	12	1	0.058	2	2	0	0	0	0	86	149	50	121
TOP1	TOP1	ENSG00000198900	20	1	0.059	0	0	0	2	3	7	4	3	12	12
TRIP12	TRIP12	ENSG00000153827	2	1	0.06	1	0	0	2	16	18	24	21	14	34
KMT2E	KMT2E	ENSG00000005483	7	1	0.06	1	0	0	0	5	7	30	59	14	30
UBTF	UBTF	ENSG00000108312	17	1	0.06	1	0	2	3	2	7	3	3	9	13
KDM3B	KDM3B	ENSG00000120733	5	1	0.06	0	0	4	2	11	23	11	28	13	36
TRRAP	TRRAP	ENSG00000196367	7	1	0.06	1	0	3	15	33	47	27	47	63	78
GRIN2B	GRIN2B	ENSG00000273079	12	1	0.061	6	0	12	7	9	13	6	11	14	38
USP7	USP7	ENSG00000187555	16	1	0.061	1	1	2	3	4	9	1	8	19	21
ATP1A3	ATP1A3	ENSG00000105409	19	1	0.062	0	1	13	11	4	9	3	2	18	37
ASH1L	ASH1L	ENSG00000116539	1	1	0.062	1	0	5	7	12	22	71	88	31	33
ANKRD17	ANKRD17	ENSG00000132466	4	1	0.062	0	0	5	8	6	7	32	44	15	38
NPEPPS	NPEPPS	ENSG00000141279	17	1	0.062	0	1	0	0	5	0	5	4	2	5
CHERP	CHERP	ENSG00000085872	19	1	0.062	0	0	2	7	9	13	2	4	7	10
MED13L	MED13L	ENSG00000123066	12	1	0.064	0	0	4	3	7	12	27	52	26	38
RPRD2	RPRD2	ENSG00000163125	1	1	0.064	0	0	0	0	3	3	33	47	16	25
KMT2A	KMT2A	ENSG00000118058	11	1	0.065	1	1	14	11	32	39	29	42	27	47
CREBBP	CREBBP	ENSG00000005339	16	1	0.066	2	2	3	3	9	10	30	55	40	50
SF3B1	SF3B1	ENSG00000115524	2	1	0.066	0	0	1	3	7	8	0	2	7	24
EIF3B	EIF3B	ENSG00000106263	7	1	0.067	0	0	0	3	2	5	7	10	9	19
PPFIA1	PPFIA1	ENSG00000131626	11	1	0.067	0	0	0	0	1	2	12	35	9	22
ZSWIM6	ZSWIM6	ENSG00000130449	5	1	0.067	0	0	0	0	0	0	0	0	0	0
PRPF3	PRPF3	ENSG00000117360	1	1	0.068	0	0	1	3	5	2	4	4	2	11
KAT6A	KAT6A	ENSG00000083168	8	1	0.069	1	0	0	2	5	5	24	51	14	26
KMT2B	KMT2B	ENSG00000272333	19	1	0.07	0	0	9	3	4	7	13	32	19	44
SIN3A	SIN3A	ENSG00000169375	15	1	0.07	1	0	5	4	11	20	14	7	10	17
CHD2	CHD2	ENSG00000173575	15	1	0.07	2	0	11	3	6	13	23	31	12	21
ARID1A	ARID1A	ENSG00000117713	1	1	0.071	0	1	0	0	7	17	36	65	29	42
GLTSCR1L	BICRAL	ENSG00000112624	6	1	0.071	1	0	0	0	2	2	23	29	13	21
SCN1A	SCN1A	ENSG00000144285	2	1	0.071	0	0	8	5	25	36	14	14	17	39
TJP1	TJP1	ENSG00000104067	15	1	0.071	2	1	0	0	12	5	31	59	15	31
SPEN	SPEN	ENSG00000065526	1	1	0.071	1	1	4	8	4	16	58	88	34	56
WDFY3	WDFY3	ENSG00000163625	4	1	0.071	4	0	4	4	15	27	32	64	27	65
EHMT1	EHMT1	ENSG00000181090	9	1	0.072	3	0	1	3	7	17	12	40	22	27
JMJD1C	JMJD1C	ENSG00000171988	10	1	0.072	0	0	1	2	5	5	53	80	16	45
MAP3K12	MAP3K12	ENSG00000139625	12	1	0.072	0	1	3	5	5	4	10	13	13	16
GGNBP2	GGNBP2	ENSG00000005955	17	1	0.073	1	0	0	3	1	5	3	10	6	9
TLE3	TLE3	ENSG00000140332	15	1	0.073	2	0	1	7	5	11	11	4	6	11
CHD6	CHD6	ENSG00000124177	20	1	0.073	2	0	12	10	3	13	37	44	20	32
UBR5	UBR5	ENSG00000104517	8	1	0.073	0	1	5	7	24	45	2	19	16	38
EIF4G1	EIF4G1	ENSG00000114867	3	1	0.074	0	0	2	3	12	25	29	46	17	24
NBEA	NBEA	ENSG00000172915	13	1	0.074	0	1	1	1	8	4	15	40	11	36
SMARCA5	SMARCA5	ENSG00000153147	4	1	0.074	0	0	2	1	7	6	1	1	7	5
TSC2	TSC2	ENSG00000103197	16	1	0.074	0	0	0	0	0	0	5	37	9	25
SUPT5H	SUPT5H	ENSG00000196235	19	1	0.074	0	0	3	10	3	15	6	9	12	32
GREB1L	GREB1L	ENSG00000141449	18	1	0.075	0	0	0	0	0	0	0	0	0	0
PTCH1	PTCH1	ENSG00000185920	9	1	0.075	1	1	0	0	15	13	23	27	17	39
CHD7	CHD7	ENSG00000171316	8	1	0.076	0	0	1	1	17	20	30	66	23	51
RAD54L2	RAD54L2	ENSG00000164080	3	1	0.076	0	0	1	0	8	11	23	25	17	28
CNOT3	CNOT3	ENSG00000088038	19	1	0.076	1	0	6	5	1	1	7	9	3	10
AHDC1	AHDC1	ENSG00000126705	1	1	0.076	1	0	0	0	15	22	8	12	12	16
U2SURP	U2SURP	ENSG00000163714	3	1	0.077	0	0	1	2	2	3	3	9	9	6
RBM25	RBM25	ENSG00000119707	14	1	0.077	0	0	3	4	6	11	5	5	11	12
GIGYF2	GIGYF2	ENSG00000204120	2	1	0.077	0	0	0	0	4	10	13	28	9	11
MBTD1	MBTD1	ENSG00000011258	17	1	0.077	0	0	0	1	0	7	1	5	0	2
DCAF5	DCAF5	ENSG00000139990	14	1	0.078	1	0	4	3	2	4	10	21	9	23
SUV420H1	KMT5B	ENSG00000110066	11	1	0.078	1	0	0	2	3	1	19	22	8	14
RABGAP1	RABGAP1	ENSG00000011454	9	1	0.078	1	1	0	0	9	15	12	9	6	6
KHSRP	KHSRP	ENSG00000088247	19	1	0.078	0	0	5	4	3	4	0	2	6	5
TM9SF2	TM9SF2	ENSG00000125304	13	1	0.079	0	0	0	0	4	7	6	8	4	10
MATR3	MATR3	ENSG00000015479	5	1	0.079	0	0	4	5	4	8	5	6	7	10
PHF21A	PHF21A	ENSG00000135365	11	1	0.08	0	0	1	2	3	5	1	7	3	9
NAV1	NAV1	ENSG00000134369	1	1	0.08	0	0	4	6	21	28	9	9	18	28
HIVEP2	HIVEP2	ENSG00000010818	6	1	0.08	1	0	1	1	0	0	60	72	36	51
RBBP6	RBBP6	ENSG00000122257	16	1	0.08	0	1	3	4	0	2	30	53	19	22
GTPBP4	GTPBP4	ENSG00000107937	10	1	0.08	0	0	0	0	0	0	17	34	4	5
MYBL1	MYBL1	ENSG00000185697	8	1	0.08	0	0	0	0	0	0	13	17	11	10
DYNC1H1	DYNC1H1	ENSG00000197102	14	1	0.08	5	0	28	23	56	47	6	14	60	90
SBNO1	SBNO1	ENSG00000139697	12	1	0.081	0	1	2	1	3	7	7	12	15	22
PRKCB	PRKCB	ENSG00000166501	16	1	0.081	0	0	4	3	4	15	0	1	4	8
INO80	INO80	ENSG00000128908	15	1	0.081	0	0	3	5	13	18	10	31	13	19
TAF4	TAF4	ENSG00000130699	20	1	0.081	0	0	0	1	9	13	3	11	6	12
TRIM28	TRIM28	ENSG00000130726	19	1	0.082	0	0	0	0	1	5	12	18	9	18
CHD8	CHD8	ENSG00000100888	14	1	0.082	2	0	10	3	10	14	19	32	15	34
RBM33	RBM33	ENSG00000184863	7	1	0.082	0	0	0	0	2	2	19	25	7	15
SNRNP200	SNRNP200	ENSG00000144028	2	1	0.082	0	2	10	23	12	27	9	9	13	33
XPO6	XPO6	ENSG00000169180	16	1	0.082	0	2	0	0	15	24	6	26	25	33
SMARCAD1	SMARCAD1	ENSG00000163104	4	1	0.083	3	0	0	2	1	6	11	14	10	12
MACF1	MACF1	ENSG00000127603	1	1	0.084	2	2	6	2	15	25	94	168	45	71
WAC	WAC	ENSG00000095787	10	1	0.084	0	0	0	0	0	4	9	12	4	5
C17orf104	MEIOC	ENSG00000180336	17	1	0.084	0	0	0	0	0	0	7	23	3	4
ATP2B1	ATP2B1	ENSG00000070961	12	1	0.084	1	0	6	5	4	11	1	1	5	5
EIF4G2	EIF4G2	ENSG00000110321	11	1	0.085	1	0	0	0	0	0	30	16	2	3
ZNF462	ZNF462	ENSG00000148143	9	1	0.085	0	0	2	10	8	25	33	53	20	49
WDR26	WDR26	ENSG00000162923	1	1	0.085	0	0	2	1	8	5	0	0	6	5
TRIM33	TRIM33	ENSG00000197323	1	1	0.086	1	0	1	1	4	5	9	7	6	7
STXBP1	STXBP1	ENSG00000136854	9	1	0.086	0	0	4	4	2	8	0	0	10	18
TOPBP1	TOPBP1	ENSG00000163781	3	1	0.086	0	0	0	0	0	0	19	25	6	12
NF2	NF2	ENSG00000186575	22	1	0.086	0	0	0	0	1	6	0	1	3	4
TET3	TET3	ENSG00000187605	2	1	0.086	1	0	3	2	0	2	38	42	13	24
MN1	MN1	ENSG00000169184	22	0.99999	0.087	0	0	0	0	0	0	6	10	7	11
SUPT6H	SUPT6H	ENSG00000109111	17	1	0.087	0	0	4	3	18	23	12	33	17	24
RP11-762I7.5	AC023055.1	ENSG00000257390	12	1	0.087	0	0	0	0	0	0	0	0	0	0
MYT1L	MYT1L	ENSG00000186487	2	1	0.087	1	0	2	2	9	9	8	8	14	27
UBP1	UBP1	ENSG00000153560	3	0.99999	0.088	0	0	0	4	0	1	3	6	5	12
PLCL2	PLCL2	ENSG00000154822	3	0.99999	0.088	1	0	0	1	7	10	6	18	8	9
SPTBN1	SPTBN1	ENSG00000115306	2	1	0.088	2	0	5	5	16	26	22	45	27	59
MYH9	MYH9	ENSG00000100345	22	1	0.088	0	0	5	5	24	46	29	28	34	59
ZDHHC5	ZDHHC5	ENSG00000156599	11	0.99999	0.088	0	0	0	0	4	1	16	30	6	11
LUC7L3	LUC7L3	ENSG00000108848	17	0.99999	0.089	0	1	0	0	1	3	2	2	1	5
COPB2	COPB2	ENSG00000184432	3	1	0.089	0	1	1	1	12	12	2	10	6	9
DNAJC14	DNAJC14	ENSG00000135392	12	0.99999	0.089	0	0	0	0	3	4	10	20	3	13
RNF17	RNF17	ENSG00000132972	13	1	0.089	0	0	0	0	0	1	24	46	13	20
ANK3	ANK3	ENSG00000151150	10	1	0.089	3	0	0	0	15	18	68	114	29	77
TM9SF3	TM9SF3	ENSG00000077147	10	0.99999	0.09	0	0	1	1	4	5	2	2	2	4
MGA	MGA	ENSG00000174197	15	1	0.09	1	0	0	0	0	0	74	105	21	48
ANKRD52	ANKRD52	ENSG00000139645	12	1	0.09	0	0	3	4	6	13	5	7	11	24
SATB2	SATB2	ENSG00000119042	2	0.99999	0.091	1	0	2	2	4	6	0	4	7	14
USP34	USP34	ENSG00000115464	2	1	0.091	0	0	0	0	0	0	53	124	34	56
MAP3K2	MAP3K2	ENSG00000169967	2	0.99999	0.091	0	0	0	0	1	2	1	7	4	8
PREX1	PREX1	ENSG00000124126	20	1	0.091	0	1	7	12	8	9	22	35	14	28
CYFIP2	CYFIP2	ENSG00000055163	5	1	0.092	2	0	3	8	4	9	1	2	8	17
ZNF407	ZNF407	ENSG00000215421	18	1	0.092	2	0	1	1	0	0	46	83	23	44
KPNB1	KPNB1	ENSG00000108424	17	1	0.092	0	0	1	2	4	5	0	0	7	13
ETV5	ETV5	ENSG00000244405	3	0.99999	0.092	0	0	0	0	5	2	5	11	4	5
CUL2	CUL2	ENSG00000108094	10	1	0.093	0	1	0	2	3	7	2	4	4	10
HNRNPM	HNRNPM	ENSG00000099783	19	0.99999	0.093	0	0	1	1	4	5	10	9	11	13
PIAS1	PIAS1	ENSG00000033800	15	0.99999	0.094	0	0	0	0	3	14	5	2	16	14
DAAM2	DAAM2	ENSG00000146122	6	1	0.094	1	5	0	0	0	0	20	45	7	18
EFTUD2	EFTUD2	ENSG00000108883	17	1	0.094	0	0	5	3	6	5	10	12	13	14
YTHDC1	YTHDC1	ENSG00000083896	4	1	0.094	0	0	0	0	1	9	6	10	4	10
NCBP1	NCBP1	ENSG00000136937	9	1	0.094	0	0	2	7	4	14	2	9	3	10
TCF20	TCF20	ENSG00000100207	22	1	0.095	1	0	0	0	0	0	62	80	19	46
DLL1	DLL1	ENSG00000198719	6	0.99999	0.095	1	0	1	3	2	0	9	26	9	14
UBR4	UBR4	ENSG00000127481	1	1	0.095	2	1	4	7	28	62	60	71	44	107
STAT3	STAT3	ENSG00000168610	17	1	0.095	0	0	6	7	2	1	0	0	12	19
IGF2BP3	IGF2BP3	ENSG00000136231	7	0.99999	0.095	0	0	0	0	7	6	4	8	5	12
NSD1	NSD1	ENSG00000165671	5	1	0.095	3	0	4	1	5	4	49	81	27	31
SRCAP	SRCAP	ENSG00000080603	16	1	0.096	1	0	0	0	2	1	76	138	46	61
ZNF777	ZNF777	ENSG00000196453	7	0.99998	0.096	1	0	1	2	5	10	6	21	12	18
HNRNPK	HNRNPK	ENSG00000165119	9	0.99998	0.096	0	0	0	3	1	7	1	0	0	2
SCAF8	SCAF8	ENSG00000213079	6	1	0.096	0	0	0	0	0	1	26	54	14	32
ARID2	ARID2	ENSG00000189079	12	1	0.096	0	0	3	2	2	2	33	46	14	24
CCT3	CCT3	ENSG00000163468	1	0.99998	0.097	1	0	0	0	0	4	14	13	5	9
COL5A2	COL5A2	ENSG00000204262	2	1	0.097	1	4	0	0	4	2	18	41	10	25
PHC3	PHC3	ENSG00000173889	3	1	0.097	0	1	1	2	1	1	11	28	10	15
GATAD2B	GATAD2B	ENSG00000143614	1	0.99998	0.097	0	0	2	0	8	6	9	6	7	6
FBXO11	FBXO11	ENSG00000138081	2	1	0.097	0	0	3	1	3	1	4	9	6	15
NOTCH1	NOTCH1	ENSG00000148400	9	1	0.097	0	0	5	0	9	22	16	34	16	34
COL3A1	COL3A1	ENSG00000168542	2	1	0.098	0	1	0	0	0	0	5	25	5	7
PPP3CB	PPP3CB	ENSG00000107758	10	0.99998	0.098	0	1	3	4	0	1	3	5	5	3
ILF3	ILF3	ENSG00000129351	19	1	0.098	1	0	4	5	2	7	11	14	10	34
PLEKHA5	PLEKHA5	ENSG00000052126	12	1	0.098	1	0	0	0	0	3	12	28	4	13
ZNF521	ZNF521	ENSG00000198795	18	1	0.098	0	0	0	0	12	13	6	25	22	24
TAB2	TAB2	ENSG00000055208	6	0.99998	0.098	0	0	0	0	4	6	13	19	7	8
CTNND2	CTNND2	ENSG00000169862	5	1	0.098	0	0	0	0	6	21	15	35	16	32
DDX5	DDX5	ENSG00000108654	17	0.99998	0.098	0	0	0	0	0	0	13	13	9	12
ACTN4	ACTN4	ENSG00000130402	19	1	0.099	0	0	5	8	3	7	5	8	13	26
UPF2	UPF2	ENSG00000151461	10	1	0.099	0	0	0	3	4	6	15	30	11	25
CARM1	CARM1	ENSG00000142453	19	0.99998	0.099	1	0	1	1	2	5	1	1	1	12
PAXIP1	PAXIP1	ENSG00000157212	7	1	0.099	0	0	0	0	0	4	9	18	3	9
BPTF	BPTF	ENSG00000171634	17	1	0.099	1	1	3	1	18	30	29	39	23	54
EP300	EP300	ENSG00000100393	22	1	0.099	1	2	0	0	0	0	85	104	22	44
FBXL19	FBXL19	ENSG00000099364	16	0.99997	0.1	0	0	4	5	3	2	0	2	4	7
CREBRF	CREBRF	ENSG00000164463	5	0.99997	0.1	0	0	0	1	1	0	12	17	5	9
HDAC2	HDAC2	ENSG00000196591	6	0.99997	0.1	0	0	2	1	0	0	0	2	2	4
SP1	SP1	ENSG00000185591	12	0.99997	0.1	1	0	0	1	0	3	17	16	9	13
MAPK8IP2	MAPK8IP2	ENSG00000008735	22	0.99997	0.1	0	0	0	0	0	0	0	5	3	1
AP2A1	AP2A1	ENSG00000196961	19	1	0.101	0	1	4	5	5	3	1	0	8	14
ARCN1	ARCN1	ENSG00000095139	11	0.99997	0.101	0	0	0	0	5	2	9	8	8	5
SPTAN1	SPTAN1	ENSG00000197694	9	1	0.101	0	1	8	17	17	23	23	28	29	49
RPTOR	RPTOR	ENSG00000141564	17	1	0.101	0	1	4	7	10	17	5	11	14	26
CAND1	CAND1	ENSG00000111530	12	1	0.101	0	0	3	2	9	12	14	25	10	16
COPS2	COPS2	ENSG00000166200	15	0.99997	0.101	0	0	0	0	1	0	2	0	1	3
SALL4	SALL4	ENSG00000101115	20	0.99997	0.101	0	0	0	0	7	7	14	31	16	28
CACNA1C	CACNA1C	ENSG00000151067	12	1	0.102	1	0	7	6	8	14	14	23	14	37
ARID1B	ARID1B	ENSG00000049618	6	1	0.102	2	0	0	0	17	28	12	38	21	40
PSMD2	PSMD2	ENSG00000175166	3	1	0.102	0	0	1	1	11	11	6	7	7	15
PSMD3	PSMD3	ENSG00000108344	17	0.99997	0.102	0	0	0	0	7	10	4	5	3	5
KMT2D	KMT2D	ENSG00000167548	12	1	0.103	0	0	1	4	20	18	87	126	41	77
UBAP2L	UBAP2L	ENSG00000143569	1	1	0.103	0	0	1	4	0	1	18	36	10	20
ZNF148	ZNF148	ENSG00000163848	3	0.99997	0.103	0	0	1	0	3	9	3	5	4	6
RRM1	RRM1	ENSG00000167325	11	1	0.103	0	0	0	1	6	5	3	2	8	18
PPP2R5E	PPP2R5E	ENSG00000154001	14	0.99997	0.103	0	0	1	1	2	5	0	0	3	9
RFX3	RFX3	ENSG00000080298	9	1	0.104	2	0	6	3	3	11	8	4	9	14
BIRC6	BIRC6	ENSG00000115760	2	1	0.104	0	5	1	1	2	3	79	121	38	59
LMNB2	LMNB2	ENSG00000176619	19	0.99996	0.104	0	0	0	0	1	1	10	13	6	10
CLTC	CLTC	ENSG00000141367	17	1	0.104	0	0	5	5	5	15	0	0	11	17
COPA	COPA	ENSG00000122218	1	1	0.105	0	0	0	0	2	6	15	27	11	12
COL1A1	COL1A1	ENSG00000108821	17	1	0.105	1	0	0	0	1	1	27	38	10	29
DHX15	DHX15	ENSG00000109606	4	1	0.105	0	0	5	4	1	2	3	9	4	11
DHX9	DHX9	ENSG00000135829	1	1	0.105	0	0	3	2	9	14	2	5	9	21
MAP2	MAP2	ENSG00000078018	2	1	0.105	1	0	2	0	5	5	26	65	23	27
AGO2	AGO2	ENSG00000123908	8	1	0.106	0	0	2	6	3	7	0	0	11	20
ANK2	ANK2	ENSG00000145362	4	1	0.106	7	0	0	0	23	33	66	102	27	59
RALGAPB	RALGAPB	ENSG00000170471	20	1	0.106	0	1	0	0	12	34	15	23	8	10
IPO7	IPO7	ENSG00000205339	11	1	0.106	0	0	0	0	6	5	2	5	5	16
PRPF19	PRPF19	ENSG00000110107	11	0.99995	0.106	0	0	1	1	7	11	0	0	5	6
SCAF4	SCAF4	ENSG00000156304	21	1	0.106	0	1	2	0	0	1	16	40	10	11
TBL1XR1	TBL1XR1	ENSG00000177565	3	0.99995	0.106	1	0	0	0	1	1	1	0	2	8
ZCCHC11	TUT4	ENSG00000134744	1	1	0.107	0	1	1	5	4	3	12	33	11	21
ZCCHC6	TUT7	ENSG00000083223	9	1	0.107	0	1	0	0	8	4	21	42	21	22
ANKRD11	ANKRD11	ENSG00000167522	16	1	0.107	2	0	5	11	8	11	46	67	32	75
PAFAH1B1	PAFAH1B1	ENSG00000007168	17	0.99995	0.107	0	0	2	1	2	3	2	1	2	4
ZEB2	ZEB2	ENSG00000169554	2	1	0.107	3	0	3	3	4	6	5	13	15	21
AP2A2	AP2A2	ENSG00000183020	11	1	0.108	0	0	0	1	3	8	1	4	2	11
SMU1	SMU1	ENSG00000122692	9	0.99994	0.108	0	0	0	2	0	3	0	0	2	5
NAA25	NAA25	ENSG00000111300	12	1	0.108	0	0	2	0	3	11	5	17	2	10
BAZ1B	BAZ1B	ENSG00000009954	7	1	0.109	1	0	2	1	15	15	10	26	15	21
HNRNPH1	HNRNPH1	ENSG00000169045	5	0.99993	0.109	0	0	2	0	0	2	0	0	8	10
VPRBP	DCAF1	ENSG00000145041	3	1	0.109	0	0	0	0	0	0	18	10	7	16
CTIF	CTIF	ENSG00000134030	18	0.99994	0.109	1	0	1	0	6	4	11	19	9	14
UTP15	UTP15	ENSG00000164338	5	0.99993	0.11	0	0	0	0	2	1	3	11	9	7
SETBP1	SETBP1	ENSG00000152217	18	1	0.11	0	0	0	0	5	8	22	39	15	22
ARID5B	ARID5B	ENSG00000150347	10	1	0.11	1	0	2	2	13	21	12	19	10	20
TPR	TPR	ENSG00000047410	1	1	0.111	0	2	0	0	1	2	35	60	14	16
RCOR1	RCOR1	ENSG00000089902	14	0.99992	0.111	0	0	0	0	2	5	0	6	1	2
SUFU	SUFU	ENSG00000107882	10	0.99992	0.111	0	0	0	0	6	8	4	7	5	17
TRPS1	TRPS1	ENSG00000104447	8	1	0.111	0	0	0	0	5	13	23	28	22	17
MTA1	MTA1	ENSG00000182979	14	1	0.111	0	0	1	1	1	5	1	3	1	12
RUVBL2	RUVBL2	ENSG00000183207	19	0.99992	0.111	0	0	1	8	4	5	0	2	6	8
EIF4G3	EIF4G3	ENSG00000075151	1	1	0.112	0	0	0	0	8	10	20	28	10	15
MDM4	MDM4	ENSG00000198625	1	0.99992	0.112	0	0	0	0	0	1	2	16	2	4
NTRK2	NTRK2	ENSG00000148053	9	1	0.112	0	1	7	1	5	11	5	5	16	16
ANKHD1	ANKHD1	ENSG00000131503	5	1	0.112	0	0	0	0	8	10	21	41	15	34
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3	ENSG00000254996	5	1	0.112	0	0	0	0	0	0	0	0	0	0
RORB	RORB	ENSG00000198963	9	0.99991	0.112	0	0	3	2	2	3	1	7	1	5
TIAL1	TIAL1	ENSG00000151923	10	0.99992	0.112	0	0	0	3	1	2	0	0	1	3
NRXN3	NRXN3	ENSG00000021645	14	1	0.112	2	2	0	3	17	27	6	19	6	12
PTPRD	PTPRD	ENSG00000153707	9	1	0.112	2	0	0	0	0	0	54	63	30	35
WAPAL	WAPL	ENSG00000062650	10	1	0.112	0	0	0	0	7	8	12	17	10	13
RBM26	RBM26	ENSG00000139746	13	1	0.112	0	1	0	0	6	8	13	15	4	8
RIF1	RIF1	ENSG00000080345	2	1	0.113	0	0	0	0	0	0	49	72	15	27
NLK	NLK	ENSG00000087095	17	0.99991	0.113	0	0	3	1	2	8	0	1	6	6
PHIP	PHIP	ENSG00000146247	6	1	0.113	0	0	3	6	7	13	7	15	7	11
LPHN2	ADGRL2	ENSG00000117114	1	1	0.113	0	1	0	3	7	8	9	28	17	8
DPYSL5	DPYSL5	ENSG00000157851	2	0.99991	0.113	0	0	2	5	10	9	3	4	5	12
USP8	USP8	ENSG00000138592	15	1	0.113	1	0	2	5	3	3	14	23	5	9
TIPARP	TIPARP	ENSG00000163659	3	0.99991	0.113	0	0	0	0	0	0	14	17	8	14
ZBTB4	ZBTB4	ENSG00000174282	17	0.99991	0.113	0	0	0	0	11	9	3	11	8	10
ISY1	ISY1	ENSG00000240682	3	0.9999	0.114	0	0	0	0	2	6	0	2	1	2
HNRNPU	HNRNPU	ENSG00000153187	1	1	0.114	0	0	1	0	3	0	5	21	11	13
TLK2	TLK2	ENSG00000146872	17	1	0.114	1	0	2	4	3	0	0	0	5	5
TRERF1	TRERF1	ENSG00000124496	6	1	0.114	0	0	0	0	6	14	12	28	5	21
DHX30	DHX30	ENSG00000132153	3	1	0.115	0	0	4	8	11	20	3	2	13	25
MYCBP2	MYCBP2	ENSG00000005810	13	1	0.115	5	3	1	3	31	58	32	54	25	59
FUBP1	FUBP1	ENSG00000162613	1	1	0.115	0	0	0	0	3	5	8	11	4	6
TRIM24	TRIM24	ENSG00000122779	7	1	0.115	0	0	0	0	5	11	7	15	4	11
ZC3H7A	ZC3H7A	ENSG00000122299	16	1	0.115	0	1	0	1	10	10	5	21	10	16
UBXN7	UBXN7	ENSG00000163960	3	0.99988	0.116	1	0	0	2	3	6	4	8	5	9
SLC17A7	SLC17A7	ENSG00000104888	19	0.99988	0.116	0	0	4	1	5	2	0	0	4	8
NOTCH2	NOTCH2	ENSG00000134250	1	1	0.116	0	1	0	0	14	32	32	47	19	36
SMARCC1	SMARCC1	ENSG00000173473	3	1	0.116	0	0	2	3	4	7	12	12	5	12
RAI1	RAI1	ENSG00000108557	17	1	0.116	3	0	0	0	6	13	49	62	26	33
CSE1L	CSE1L	ENSG00000124207	20	1	0.117	0	0	0	0	6	10	10	19	10	10
EIF4A1	EIF4A1	ENSG00000161960	17	0.99987	0.117	0	0	2	2	1	0	0	1	6	15
PIK3CA	PIK3CA	ENSG00000121879	3	1	0.117	0	1	7	1	2	5	3	5	16	8
KIF5C	KIF5C	ENSG00000168280	2	1	0.117	0	1	1	0	3	4	5	7	7	8
REV3L	REV3L	ENSG00000009413	6	1	0.117	2	1	1	1	7	22	38	87	25	28
AGPS	AGPS	ENSG00000018510	2	1	0.117	0	0	1	1	4	3	0	2	3	8
ADAM10	ADAM10	ENSG00000137845	15	1	0.117	1	0	0	4	2	8	0	12	6	16
MED1	MED1	ENSG00000125686	17	1	0.117	1	0	0	0	4	10	23	42	18	17
SMARCC2	SMARCC2	ENSG00000139613	12	1	0.117	2	0	2	1	12	12	10	10	15	16
MYRF	MYRF	ENSG00000124920	11	1	0.117	0	0	0	2	1	3	3	13	2	14
DOT1L	DOT1L	ENSG00000104885	19	1	0.118	0	0	3	2	5	6	9	12	8	12
CHAF1A	CHAF1A	ENSG00000167670	19	1	0.118	0	1	0	0	5	9	16	27	16	24
