gene	gene_gencodeV33	gene_id	chromosome	pLI	LOEUF	case.ptv	control.ptv	case.misb	control.misb	case.misa	control.misa	case.mis	control.mis	case.syn	control.syn
OR1S1	OR1S1	ENSG00000172774	11	4.16E-05	1.885	0	1	0	0	0	0	9	19	2	1
SPATA31A3	SPATA31A3	ENSG00000147926	9	0.29526	1.885	0	0	0	0	0	0	0	0	0	0
NBPF11	NBPF11	ENSG00000152042	1	0.0011126	1.885	0	0	0	0	0	0	0	0	0	0
BHLHA9	BHLHA9	ENSG00000205899	17	0.2959	1.885	0	0	0	0	0	0	0	0	0	0
C9orf66	DOCK8-AS1	ENSG00000183784	9	0.023936	1.885	0	0	0	0	0	0	1	2	1	1
LRG1	LRG1	ENSG00000171236	19	0.095143	1.885	0	0	0	0	0	0	7	18	8	5
AC112721.1	AC112721.1	ENSG00000222022	2	0.2956	1.885	0	0	0	0	0	0	0	0	0	0
B3GNT6	B3GNT6	ENSG00000198488	11	1.09E-09	1.885	0	0	0	0	3	0	1	0	0	1
MBD3L4	MBD3L4	ENSG00000205718	19	0.29496	1.885	0	0	0	0	0	0	0	0	0	0
GAL3ST2	GAL3ST2	ENSG00000154252	2	2.93E-11	1.885	0	0	0	0	0	0	0	3	2	2
HTN3	HTN3	ENSG00000205649	4	4.11E-05	1.886	0	0	0	0	0	0	1	0	1	0
ARL11	ARL11	ENSG00000152213	13	0.0052678	1.886	0	2	0	0	0	0	6	4	2	3
NEUROG1	NEUROG1	ENSG00000181965	5	0.00021722	1.886	0	0	0	0	1	4	2	4	2	5
CGB7	CGB7	ENSG00000196337	19	0.0052599	1.886	0	0	0	0	0	0	0	0	0	0
HIST1H2AJ	NA	ENSG00000182611	6	0.0237	1.886	0	1	0	1	0	0	0	0	3	3
RP11-210M15.2	AC016705.2	ENSG00000259495	15	0.023659	1.886	0	0	0	0	0	0	0	0	0	0
C6orf48	SNHG32	ENSG00000204387	6	0.023621	1.886	0	1	0	0	0	0	3	3	0	2
KRTAP5-8	KRTAP5-8	ENSG00000241233	11	0.095069	1.886	0	0	0	0	0	0	2	3	1	2
OR2T6	OR2T6	ENSG00000198104	1	4.14E-05	1.886	0	0	0	0	0	0	7	14	2	6
NAT1	NAT1	ENSG00000171428	8	1.93E-14	1.886	0	0	0	0	0	0	9	8	3	8
WFDC6	WFDC6	ENSG00000243543	20	0.001097	1.886	0	1	0	0	0	0	1	5	1	1
SERPINA9	SERPINA9	ENSG00000170054	14	1.21E-13	1.886	0	1	0	0	0	0	14	19	4	11
C1orf111	SPATA46	ENSG00000171722	1	1.77E-10	1.886	0	1	0	0	0	0	12	17	2	3
ZNF721	ZNF721	ENSG00000182903	4	0.094789	1.886	2	11	0	0	0	0	27	46	7	13
SPG20OS	SPART-AS1	ENSG00000120664	13	0.023665	1.886	0	0	0	0	0	0	0	0	0	0
RP11-386G21.1	AC022679.2	ENSG00000253976	8	0.023775	1.886	0	0	0	0	0	0	0	0	0	0
SIRPD	SIRPD	ENSG00000125900	20	3.91E-08	1.886	0	0	0	0	0	0	10	16	0	0
TEX38	TEX38	ENSG00000186118	1	2.27E-07	1.887	0	0	0	0	0	0	0	0	0	0
ZNF726	ZNF726	ENSG00000213967	19	7.48E-06	1.887	3	4	0	0	0	0	17	6	2	6
VPREB3	VPREB3	ENSG00000128218	22	0.094588	1.887	2	0	0	0	0	0	4	5	3	1
SPRN	SPRN	ENSG00000203772	10	0.29377	1.887	0	0	0	0	0	0	0	0	0	0
C10orf32	BORCS7	ENSG00000166275	10	2.29E-07	1.887	0	0	0	0	0	0	2	2	1	1
C4orf19	C4orf19	ENSG00000154274	4	0.09431	1.887	0	0	0	0	0	0	6	7	2	5
CBWD3	CBWD3	ENSG00000196873	9	1.33E-06	1.887	0	0	0	0	0	0	0	0	0	0
C1orf180	LINC01555	ENSG00000180869	1	0.094516	1.887	0	0	0	0	0	0	0	0	0	0
TMEM238	TMEM238	ENSG00000233493	19	0.29387	1.887	0	0	0	0	0	0	0	0	0	0
CST9	CST9	ENSG00000173335	20	0.0010911	1.887	2	3	0	0	0	0	2	8	6	3
C8orf31	C8orf31	ENSG00000177335	8	3.86E-08	1.887	0	0	0	0	1	2	4	0	2	1
DEFB113	DEFB113	ENSG00000214642	6	0.09409	1.888	0	0	0	0	0	0	0	0	0	1
ANKRD34B	ANKRD34B	ENSG00000189127	5	1.83E-14	1.888	0	1	0	0	0	0	9	12	2	10
TRIB3	TRIB3	ENSG00000101255	20	1.16E-13	1.888	4	3	0	0	0	0	14	26	8	7
KRTAP3-1	KRTAP3-1	ENSG00000212901	17	0.023316	1.888	0	0	0	0	0	0	1	4	1	4
DEFB104A	DEFB104A	ENSG00000176782	8	0.093748	1.888	0	0	0	0	0	0	0	0	0	0
AC009403.2	AC009403.1	ENSG00000216895	7	0.023373	1.888	0	0	0	0	0	0	0	0	0	0
ZNF429	ZNF429	ENSG00000197013	19	4.05E-05	1.888	4	5	0	0	0	0	14	19	4	9
DNAJC15	DNAJC15	ENSG00000120675	13	1.68E-10	1.889	0	1	0	0	0	0	1	3	0	0
RPUSD1	RPUSD1	ENSG00000007376	16	1.67E-10	1.889	0	0	0	0	0	0	2	5	2	1
OR1J2	OR1J2	ENSG00000197233	9	0.093349	1.889	0	0	0	0	0	0	4	8	6	2
OR4C6	OR4C6	ENSG00000181903	11	0.005129	1.889	1	1	0	0	0	0	8	16	8	4
TFF2	TFF2	ENSG00000160181	21	2.22E-07	1.889	0	0	0	0	1	2	1	1	0	1
CDRT15	CDRT15	ENSG00000223510	17	1.28E-06	1.889	0	0	0	0	0	0	0	0	0	0
DEFB105B	DEFB105B	ENSG00000186599	8	0.29184	1.889	0	0	0	0	0	0	0	0	0	0
TYRP1	TYRP1	ENSG00000107165	9	6.56E-25	1.889	4	6	0	0	0	0	11	31	6	6
URAD	URAD	ENSG00000183463	13	0.0051396	1.889	0	0	0	0	1	1	1	0	0	0
OVCA2	OVCA2	ENSG00000262664	17	1.28E-06	1.889	0	0	0	0	0	0	1	7	1	2
CLIC3	CLIC3	ENSG00000169583	9	6.23E-09	1.889	0	0	0	0	0	0	0	0	1	4
IFITM2	IFITM2	ENSG00000185201	11	0.0051529	1.889	0	0	0	0	0	0	5	7	1	1
MBD3L3	MBD3L3	ENSG00000182315	19	0.29097	1.889	0	0	0	0	0	0	0	0	0	0
ZNF534	ZNF534	ENSG00000198633	19	1.29E-06	1.889	2	7	0	0	0	0	11	12	5	7
PPP3R2	PPP3R2	ENSG00000188386	9	0.0010651	1.889	0	0	0	0	1	1	5	10	2	11
RP11-998D10.1	AL161668.2	ENSG00000255472	14	0.0051512	1.889	0	0	0	0	0	0	0	0	0	1
PRAMEF14	PRAMEF14	ENSG00000204481	1	0.29026	1.89	0	0	0	0	0	0	0	0	0	0
OR9Q2	OR9Q2	ENSG00000186513	11	6.16E-09	1.89	0	0	0	0	0	0	8	20	6	6
HCG27	HCG27	ENSG00000206344	6	0.023063	1.89	0	0	0	0	0	0	0	0	0	0
MS4A4E	MS4A4E	ENSG00000214787	11	0.0010614	1.89	0	0	0	0	0	0	0	0	0	0
SCGB2B2	SCGB2B2	ENSG00000205209	19	0.0010603	1.89	0	1	0	0	0	0	0	4	1	1
S100A16	S100A16	ENSG00000188643	1	0.0010573	1.89	0	0	0	0	0	0	2	7	2	9
TRIM49D1	TRIM49D1	ENSG00000223417	11	0.29086	1.89	0	0	0	0	0	0	0	0	0	0
OR6K3	OR6K3	ENSG00000203757	1	0.092932	1.89	0	0	0	0	0	0	11	9	6	14
C7orf66	C7orf66	ENSG00000205174	7	0.092294	1.891	0	0	0	0	0	0	1	8	1	2
HIGD1B	HIGD1B	ENSG00000131097	17	3.91E-05	1.891	1	1	0	0	0	0	5	6	0	1
KRTAP9-9	KRTAP9-9	ENSG00000198083	17	0.28956	1.891	0	0	0	0	0	0	3	5	5	3
