variable	phenotype	#indivi	#indivi_with_variant	p_value	neg_log_p_value	beta	ci_lower	ci_upper	sex
missense	Fluid intelligence	107786	1185	0.004237887849489593	2.3728505405445928	-0.1740784285632448	-0.293	-0.055	both
missense	Reaction time (IN)	332138	3579	0.02599805948225814	1.5850590669368192	0.0345601711953831	0.004	0.065	both
missense	Qualifications	331077	3557	0.48656298983166735	0.3128609285395404	-0.05796674503083846	-0.221	0.105	both
pLoF	Fluid intelligence	107786	2514	0.7410353410544528	0.13016107939053242	0.013899184023994308	-0.069	0.096	both
pLoF	Reaction time (IN)	332138	7667	0.3769112645642049	0.4237608828078373	-0.009432245607271838	-0.03	0.011	both
pLoF	Qualifications	331077	7650	0.05109369792225146	1.29163266398225	0.11153064410671128	-0.001	0.224	both
synonymous	Fluid intelligence	107786	15070	0.06443640543951919	1.1908686945303413	-0.033847355542216725	-0.07	0.002	both
synonymous	Reaction time (IN)	332138	45921	0.6807956262649755	0.16698324301613604	-0.0019104680202906674	-0.011	0.007	both
synonymous	Qualifications	331077	45835	0.3958339828829558	0.402486923760227	-0.02111875472368539	-0.07	0.028	both
